"best_available_taxonomy_dim$common_name","date_dim$yyyymmdd","haul_latitude_dim$latitude_in_degrees","haul_longitude_dim$longitude_in_degrees","operation_dim$operation_id","operation_dim$vessel","total_catch_numbers","total_catch_wt_kg"
"Fleshy Sea Pen","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.1200"
"Rough Anemone","20100822","45.76500000","-124.77277778","201003008004","Excalibur","31","7.4000"
"Purple Striated Anemone","20100822","45.76500000","-124.77277778","201003008004","Excalibur","36","0.3620"
"Pom Pom Anemone","20100822","45.76500000","-124.77277778","201003008004","Excalibur","18","2.1690"
"Hormathiid Anemones unident.","20100822","45.76500000","-124.77277778","201003008004","Excalibur","36","1.8080"
"Glass Shrimp","20100822","45.76500000","-124.77277778","201003008004","Excalibur","72","0.1810"
"Solenogasters","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0600"
"","20100822","45.76500000","-124.77277778","201003008004","Excalibur","18","1.4460"
"Deep-sea Spiny Star","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","0.2600"
"Spiny Star","20100822","45.76500000","-124.77277778","201003008004","Excalibur","4","1.3500"
"Deep-sea Sunstar","20100822","45.76500000","-124.77277778","201003008004","Excalibur","3","0.2600"
"pincushion sea star","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","0.4500"
"Carpet Star","20100822","45.76500000","-124.77277778","201003008004","Excalibur","2","0.3400"
"","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1030","14.4620"
"Sandy Sea Cucumber","20100822","45.76500000","-124.77277778","201003008004","Excalibur","271","27.4780"
"sponge unident.","20100822","45.76500000","-124.77277778","201003008004","Excalibur","","3.5500"
"sponge unident.","20100822","45.76500000","-124.77277778","201003008004","Excalibur","","0.1600"
"salps unident.","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.0400"
"","20100822","45.76500000","-124.77277778","201003008004","Excalibur","1","0.1000"
"black hagfish","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","0.4000"
"brown cat shark","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","1.0400"
"Dover sole","20100822","46.10222222","-124.81555556","201003008007","Excalibur","37","35.0500"
"deepsea sole","20100822","46.10222222","-124.81555556","201003008007","Excalibur","13","7.6000"
"California slickhead","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","0.1000"
"deepsea smelt unident.","20100822","46.10222222","-124.81555556","201003008007","Excalibur","5","0.3200"
"Pacific viperfish","20100822","46.10222222","-124.81555556","201003008007","Excalibur","4","0.2000"
"giant grenadier","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","1.1000"
"blacktail snailfish","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","0.3000"
"longfin dragonfish","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0100"
"lanternfish unident.","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0100"
"barreleye","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0100"
"twoline eelpout","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0200"
"snakehead eelpout","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.1400"
"shortspine thornyhead","20100822","46.10222222","-124.81555556","201003008007","Excalibur","13","9.7700"
"longspine thornyhead","20100822","46.10222222","-124.81555556","201003008007","Excalibur","710","31.9300"
"jellyfish unident.","20100822","46.10222222","-124.81555556","201003008007","Excalibur","","0.0800"
"Purple cone Jelly","20100822","46.10222222","-124.81555556","201003008007","Excalibur","7","0.0400"
"Wheel Jellies","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0100"
"Red Striated Anemone","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.0800"
"Glass Shrimp","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0100"
"Grooved Tanner Crab","20100822","46.10222222","-124.81555556","201003008007","Excalibur","10","7.2500"
"","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","0.0800"
"Green Top Snail","20100822","46.10222222","-124.81555556","201003008007","Excalibur","14","0.3400"
"","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","2.2400"
"Octopus Squid","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.8400"
"Pink Star","20100822","46.10222222","-124.81555556","201003008007","Excalibur","2","0.0400"
"Deep-sea Spiny Star","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.0600"
"Deep-sea Sunstar","20100822","46.10222222","-124.81555556","201003008007","Excalibur","1","0.0400"
"Pink Sun Star","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.1200"
"Jordans Slime Star","20100822","46.10222222","-124.81555556","201003008007","Excalibur","6","0.6200"
"Slender Star","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.2200"
"","20100822","46.10222222","-124.81555556","201003008007","Excalibur","3","0.1200"
"sponge unident.","20100822","46.10222222","-124.81555556","201003008007","Excalibur","","6.2000"
"salps unident.","20100822","46.10222222","-124.81555556","201003008007","Excalibur","","0.0900"
"longnose skate","20100823","46.36027778","-124.37694444","201003008012","Excalibur","2","0.3500"
"spotted ratfish","20100823","46.36027778","-124.37694444","201003008012","Excalibur","5","2.1000"
"Pacific sanddab","20100823","46.36027778","-124.37694444","201003008012","Excalibur","19","2.4500"
"arrowtooth flounder","20100823","46.36027778","-124.37694444","201003008012","Excalibur","8","6.4000"
"slender sole","20100823","46.36027778","-124.37694444","201003008012","Excalibur","104","7.3000"
"petrale sole","20100823","46.36027778","-124.37694444","201003008012","Excalibur","8","3.3000"
"English sole","20100823","46.36027778","-124.37694444","201003008012","Excalibur","7","1.5000"
"Dover sole","20100823","46.36027778","-124.37694444","201003008012","Excalibur","535","128.5000"
"rex sole","20100823","46.36027778","-124.37694444","201003008012","Excalibur","331","57.8500"
"sablefish","20100823","46.36027778","-124.37694444","201003008012","Excalibur","274","186.2500"
"American shad","20100823","46.36027778","-124.37694444","201003008012","Excalibur","9","1.2200"
"lingcod","20100823","46.36027778","-124.37694444","201003008012","Excalibur","1","0.3200"
"Pacific hake","20100823","46.36027778","-124.37694444","201003008012","Excalibur","15","12.9000"
"Pacific hake","20100823","46.36027778","-124.37694444","201003008012","Excalibur","1","0.0200"
"blackbelly eelpout","20100823","46.36027778","-124.37694444","201003008012","Excalibur","6","0.2000"
"greenstriped rockfish","20100823","46.36027778","-124.37694444","201003008012","Excalibur","2","0.3400"
"Giant Anemone","20100823","46.36027778","-124.37694444","201003008012","Excalibur","3","0.6200"
"Dungeness Crab","20100823","46.36027778","-124.37694444","201003008012","Excalibur","135","35.8000"
"rosy tritonia","20100823","46.36027778","-124.37694444","201003008012","Excalibur","3","0.0600"
"Deep-sea Spiny Star","20100823","46.36027778","-124.37694444","201003008012","Excalibur","1","0.0200"
"equal armed star","20100823","46.36027778","-124.37694444","201003008012","Excalibur","3","0.1000"
"flat mud star","20100823","46.36027778","-124.37694444","201003008012","Excalibur","9","0.8000"
"Pacific Spiny Dogfish","20100823","46.33472222","-124.58416667","201003008011","Excalibur","2","5.2500"
"Sandpaper skate","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","1.4500"
"longnose skate","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","9.0500"
"spotted ratfish","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","0.9000"
"arrowtooth flounder","20100823","46.33472222","-124.58416667","201003008011","Excalibur","10","7.0500"
"slender sole","20100823","46.33472222","-124.58416667","201003008011","Excalibur","42","3.6900"
"petrale sole","20100823","46.33472222","-124.58416667","201003008011","Excalibur","4","1.1500"
"English sole","20100823","46.33472222","-124.58416667","201003008011","Excalibur","8","2.6500"
"Dover sole","20100823","46.33472222","-124.58416667","201003008011","Excalibur","54","15.6000"
"rex sole","20100823","46.33472222","-124.58416667","201003008011","Excalibur","109","18.5500"
"sablefish","20100823","46.33472222","-124.58416667","201003008011","Excalibur","4","3.3000"
"American shad","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","0.2600"
"threadfin sculpin","20100823","46.33472222","-124.58416667","201003008011","Excalibur","4","0.6000"
"Pacific cod","20100823","46.33472222","-124.58416667","201003008011","Excalibur","2","2.9000"
"lingcod","20100823","46.33472222","-124.58416667","201003008011","Excalibur","9","9.1500"
"Pacific hake","20100823","46.33472222","-124.58416667","201003008011","Excalibur","210","46.2500"
"greenstriped rockfish","20100823","46.33472222","-124.58416667","201003008011","Excalibur","84","20.2500"
"yellowtail rockfish","20100823","46.33472222","-124.58416667","201003008011","Excalibur","14","20.6500"
"Giant Anemone","20100823","46.33472222","-124.58416667","201003008011","Excalibur","3","4.8500"
"Pom Pom Anemone","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","0.0400"
"Dungeness Crab","20100823","46.33472222","-124.58416667","201003008011","Excalibur","20","12.6000"
"Fish-eating Star","20100823","46.33472222","-124.58416667","201003008011","Excalibur","1","0.1200"
"flat mud star","20100823","46.33472222","-124.58416667","201003008011","Excalibur","2","0.1600"
